               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1261,            0.030872,                   0,                   0,                   0,                   0,                   0,             0.12355,            0.023544,                   0,              0.0964,              0.0004,              0.0004
                   1,             0.12261,            0.032464,                   0,                   0,                   0,                   0,                   0,             0.11882,            0.023264,                   0,            0.091891,          0.00089109,          0.00089109
                   2,             0.11774,            0.030002,                   0,                   0,                   0,                   0,                   0,             0.11059,            0.022844,                   0,            0.087372,           0.0013723,           0.0013723
                   3,             0.10947,            0.030437,                   0,                   0,                   0,                   0,                   0,             0.10489,            0.022497,                   0,            0.082844,           0.0018436,           0.0018436
                   4,             0.11003,            0.031228,                   0,           0.0016667,             0.26316,           0.0028379,          0.00046281,            0.098581,            0.022035,                   0,            0.078305,            0.002305,            0.002305
                   5,             0.10466,            0.030213,                   0,           0.0023333,             0.36842,           0.0093166,           0.0028285,             0.10007,            0.021814,                   0,            0.073756,           0.0027564,           0.0027564
                   6,            0.099605,            0.028629,                   0,           0.0036667,             0.57895,             0.14753,            0.081157,            0.082342,            0.022028,                   0,            0.069198,            0.003198,            0.003198
                   7,            0.093232,            0.028636,                   0,           0.0046667,             0.73684,             0.10722,             0.03161,            0.089401,            0.021005,                   0,             0.06463,           0.0036297,           0.0036297
                   8,            0.095193,            0.029368,                   0,            0.033042,             0.68421,             0.30883,            0.079409,            0.080004,            0.020836,                   0,            0.060052,           0.0040515,           0.0040515
                   9,            0.083877,            0.028445,                   0,            0.038141,             0.68421,             0.18183,            0.064116,            0.077041,            0.020275,                   0,            0.055463,           0.0044634,           0.0044634
                  10,            0.086549,            0.030927,                   0,             0.24366,             0.15789,             0.12721,            0.022527,            0.094007,            0.018985,                   0,            0.050865,           0.0048654,           0.0048654
                  11,             0.08147,            0.030004,                   0,             0.37202,            0.052632,             0.18644,            0.045831,            0.090946,            0.018795,                   0,            0.046257,           0.0052575,           0.0052575
                  12,            0.080785,            0.027208,                   0,             0.93545,             0.10526,             0.19582,            0.065223,            0.063975,            0.019584,                   0,             0.04164,           0.0056397,           0.0056397
                  13,             0.07985,            0.027488,                   0,            0.082961,             0.52632,            0.086108,            0.019803,             0.08014,            0.019194,                   0,            0.037012,            0.006012,            0.006012
                  14,              0.0763,            0.026466,                   0,             0.19007,             0.15789,            0.077199,            0.027169,            0.081583,            0.021507,                   0,            0.032374,           0.0063744,           0.0063744
                  15,            0.076253,            0.027201,                   0,             0.14778,             0.31579,             0.16641,            0.046576,            0.071236,            0.023315,                   0,            0.027727,           0.0067268,           0.0067268
                  16,            0.071496,            0.024822,                   0,             0.14215,             0.26316,             0.10155,            0.032718,            0.075352,            0.024592,                   0,            0.023069,           0.0070694,           0.0070694
                  17,            0.074618,            0.023976,                   0,             0.19837,             0.26316,             0.11223,            0.024944,            0.080177,            0.024126,                   0,            0.018402,           0.0074021,           0.0074021
                  18,            0.073518,            0.024406,                   0,             0.31499,             0.36842,             0.25496,            0.087887,            0.074043,            0.021217,                   0,            0.013725,           0.0077249,           0.0077249
                  19,            0.063864,            0.024752,                   0,             0.44653,             0.36842,             0.32945,             0.13448,             0.07947,            0.015968,                   0,           0.0090378,           0.0080378,           0.0080378
                  20,            0.078049,             0.01818,                   0,             0.51258,             0.42105,             0.40484,             0.17907,            0.073123,            0.016983,                   0,             0.00802,             0.00802,             0.00802
                  21,            0.078555,            0.021389,                   0,             0.55715,             0.47368,               0.482,             0.19525,            0.096113,            0.012039,                   0,             0.00802,             0.00802,             0.00802
                  22,            0.077114,            0.020402,                   0,             0.62969,             0.52632,             0.54808,             0.23867,            0.074867,             0.01359,                   0,            0.007921,            0.007921,            0.007921
                  23,            0.067702,            0.023622,                   0,             0.62056,             0.68421,             0.64282,             0.28343,            0.073644,             0.01189,                   0,            0.007822,            0.007822,            0.007822
                  24,            0.073463,            0.020895,                   0,             0.76635,             0.73684,              0.6864,             0.30123,            0.072299,            0.013304,                   0,            0.007723,            0.007723,            0.007723
                  25,             0.06743,            0.023427,                   0,             0.66069,             0.63158,             0.67369,             0.33199,            0.056734,            0.013536,                   0,            0.007624,            0.007624,            0.007624
                  26,            0.065737,            0.021789,                   0,             0.77354,             0.71977,             0.70171,             0.24598,            0.071221,            0.013503,                   0,            0.007525,            0.007525,            0.007525
                  27,            0.059554,            0.022977,                   0,             0.84388,             0.73684,             0.73729,             0.41005,            0.070783,            0.012995,                   0,            0.007426,            0.007426,            0.007426
                  28,             0.06448,            0.020435,                   0,             0.86872,             0.73684,             0.73358,             0.40928,             0.07084,            0.012731,                   0,            0.007327,            0.007327,            0.007327
                  29,            0.059374,            0.020681,                   0,             0.89486,             0.73684,              0.7406,             0.38651,            0.051997,             0.01437,                   0,            0.007228,            0.007228,            0.007228
                  30,            0.060316,            0.021974,                   0,              0.9252,             0.73684,             0.73471,             0.32026,            0.065892,            0.015571,                   0,            0.007129,            0.007129,            0.007129
                  31,            0.055679,            0.019065,                   0,             0.68211,             0.63158,               0.678,             0.42213,            0.061637,            0.012977,                   0,             0.00703,             0.00703,             0.00703
                  32,            0.061566,             0.01696,                   0,             0.73515,             0.58469,             0.70298,             0.36683,             0.06188,            0.012598,                   0,            0.006931,            0.006931,            0.006931
                  33,            0.058936,            0.018954,                   0,             0.58244,             0.58767,             0.63803,             0.35741,            0.052681,            0.011798,                   0,            0.006832,            0.006832,            0.006832
                  34,             0.06011,            0.019047,                   0,             0.92778,             0.67663,             0.74695,             0.29285,             0.05884,            0.013086,                   0,            0.006733,            0.006733,            0.006733
                  35,            0.049656,            0.017954,                   0,             0.55151,             0.47368,             0.55546,             0.30058,            0.057595,            0.011876,                   0,            0.006634,            0.006634,            0.006634
                  36,            0.058595,            0.018642,                   0,             0.50841,             0.65371,             0.63073,             0.32473,            0.051108,             0.01195,                   0,            0.006535,            0.006535,            0.006535
                  37,            0.053118,            0.016378,                   0,             0.50631,             0.68421,             0.60721,             0.30224,            0.054515,            0.011248,                   0,            0.006436,            0.006436,            0.006436
                  38,            0.051505,            0.017441,                   0,             0.66075,             0.63158,             0.68603,             0.29963,            0.051757,            0.012513,                   0,            0.006337,            0.006337,            0.006337
                  39,            0.047791,             0.01859,                   0,             0.43639,             0.68421,             0.54868,              0.2881,            0.054532,             0.01222,                   0,            0.006238,            0.006238,            0.006238
                  40,            0.053341,            0.016806,                   0,             0.80053,             0.68421,             0.78965,              0.3463,            0.042633,             0.01129,                   0,            0.006139,            0.006139,            0.006139
                  41,             0.04847,            0.016266,                   0,             0.49639,             0.68421,             0.55074,             0.27349,            0.052129,            0.011884,                   0,             0.00604,             0.00604,             0.00604
                  42,            0.049074,             0.01548,                   0,             0.90765,             0.68421,              0.8227,             0.43619,            0.044722,           0.0099881,                   0,            0.005941,            0.005941,            0.005941
                  43,            0.042658,            0.017164,                   0,              0.7241,             0.68421,             0.76701,              0.3692,            0.046607,            0.010479,                   0,            0.005842,            0.005842,            0.005842
                  44,            0.050524,            0.016887,                   0,             0.89251,             0.68421,             0.80899,             0.38876,            0.044751,            0.010674,                   0,            0.005743,            0.005743,            0.005743
                  45,            0.044644,            0.016818,                   0,             0.82297,             0.68421,             0.81791,             0.37736,            0.046601,            0.010881,                   0,            0.005644,            0.005644,            0.005644
                  46,            0.044841,            0.015217,                   0,             0.81374,             0.68421,             0.78929,             0.40603,            0.041857,            0.010991,                   0,            0.005545,            0.005545,            0.005545
                  47,            0.040811,            0.016344,                   0,             0.77862,             0.68421,             0.80091,             0.33471,            0.051104,            0.010482,                   0,            0.005446,            0.005446,            0.005446
                  48,            0.046593,            0.014454,                   0,             0.81201,             0.68215,              0.7686,             0.39811,            0.041977,           0.0095376,                   0,            0.005347,            0.005347,            0.005347
                  49,            0.043628,            0.014517,                   0,             0.91551,             0.68421,             0.80897,             0.40273,            0.042158,           0.0097195,                   0,            0.005248,            0.005248,            0.005248
                  50,             0.04255,            0.014069,                   0,             0.92388,             0.68421,              0.8231,             0.43796,            0.039077,           0.0089818,                   0,            0.005149,            0.005149,            0.005149
                  51,            0.035753,            0.013864,                   0,             0.68281,             0.68421,             0.73248,             0.35988,            0.042129,           0.0091764,                   0,             0.00505,             0.00505,             0.00505
                  52,            0.043447,            0.012926,                   0,             0.91531,             0.68421,             0.83075,             0.48977,             0.03896,           0.0088011,                   0,            0.004951,            0.004951,            0.004951
                  53,            0.041614,            0.013878,                   0,             0.61577,             0.78947,             0.71463,             0.38457,             0.04472,           0.0090437,                   0,            0.004852,            0.004852,            0.004852
                  54,            0.039027,            0.012268,                   0,             0.91118,             0.68421,             0.84999,             0.41692,            0.037176,           0.0085996,                   0,            0.004753,            0.004753,            0.004753
                  55,            0.042951,            0.013272,                   0,             0.77137,             0.71104,             0.81394,             0.43552,            0.040162,           0.0082278,                   0,            0.004654,            0.004654,            0.004654
                  56,            0.041869,            0.013128,                   0,             0.69732,             0.78947,             0.78329,              0.4026,            0.039346,           0.0078454,                   0,            0.004555,            0.004555,            0.004555
                  57,            0.041571,            0.013436,                   0,             0.90512,             0.78947,              0.9061,             0.52644,            0.030927,            0.007981,                   0,            0.004456,            0.004456,            0.004456
                  58,             0.03992,            0.013069,                   0,             0.89862,             0.78947,             0.90328,             0.48691,            0.039108,           0.0077342,                   0,            0.004357,            0.004357,            0.004357
                  59,            0.038197,            0.012814,                   0,             0.94051,             0.83262,             0.91057,             0.46476,            0.034491,           0.0079185,                   0,            0.004258,            0.004258,            0.004258
                  60,            0.039794,            0.012512,                   0,             0.93877,             0.84211,             0.91645,             0.47532,            0.031958,           0.0078753,                   0,            0.004159,            0.004159,            0.004159
                  61,            0.037485,            0.013783,                   0,             0.91747,             0.84211,             0.91955,             0.50456,             0.03248,           0.0077325,                   0,             0.00406,             0.00406,             0.00406
                  62,            0.039214,            0.013953,                   0,             0.91978,             0.84211,             0.92249,             0.46353,            0.033122,           0.0077523,                   0,            0.003961,            0.003961,            0.003961
                  63,             0.03602,            0.012471,                   0,             0.69559,             0.84211,             0.76923,              0.3932,            0.034208,           0.0078497,                   0,            0.003862,            0.003862,            0.003862
                  64,            0.039683,            0.013317,                   0,             0.92053,             0.84211,             0.92569,              0.4989,            0.029143,           0.0075613,                   0,            0.003763,            0.003763,            0.003763
                  65,            0.034206,            0.012736,                   0,             0.92183,             0.84211,             0.92288,              0.5097,            0.030032,             0.00764,                   0,            0.003664,            0.003664,            0.003664
                  66,              0.0347,            0.011598,                   0,             0.91701,             0.84211,             0.92327,             0.49687,            0.030466,           0.0075311,                   0,            0.003565,            0.003565,            0.003565
                  67,            0.033398,            0.011338,                   0,             0.91226,             0.84211,             0.92095,             0.53625,            0.034917,           0.0072962,                   0,            0.003466,            0.003466,            0.003466
                  68,            0.036414,            0.012371,                   0,             0.90424,             0.84211,             0.93046,             0.50239,            0.029298,            0.007069,                   0,            0.003367,            0.003367,            0.003367
                  69,            0.034603,            0.011886,                   0,             0.89416,             0.84211,             0.92954,             0.49223,            0.032635,           0.0071009,                   0,            0.003268,            0.003268,            0.003268
                  70,            0.034548,            0.011703,                   0,              0.8938,             0.88626,             0.93472,              0.4903,            0.029941,           0.0069745,                   0,            0.003169,            0.003169,            0.003169
                  71,            0.034137,            0.011986,                   0,             0.89402,             0.88829,             0.94067,             0.50266,            0.031965,           0.0070475,                   0,             0.00307,             0.00307,             0.00307
                  72,             0.03373,            0.011234,                   0,             0.89431,              0.8909,             0.94433,             0.53983,             0.02848,           0.0069822,                   0,            0.002971,            0.002971,            0.002971
