               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12487,            0.034716,                   0,                   0,                   0,                   0,                   0,             0.12362,            0.032884,                   0,              0.0829,              0.0019,              0.0019
                   1,             0.11838,            0.033577,                   0,                   0,                   0,                   0,                   0,             0.11609,            0.029269,                   0,            0.064861,           0.0038614,           0.0038614
                   2,             0.11616,            0.030364,                   0,          0.00033333,            0.052632,          0.00017805,          1.7805e-05,             0.11306,            0.024608,                   0,            0.046783,           0.0057832,           0.0057832
                   3,              0.1046,             0.02698,                   0,                   0,                   0,                   0,                   0,             0.10225,            0.022865,                   0,            0.028665,           0.0076654,           0.0076654
                   4,             0.11216,             0.02666,                   0,          0.00033333,            0.052632,          0.00018184,          1.8184e-05,             0.10765,            0.020873,                   0,            0.010508,            0.009508,            0.009508
                   5,             0.10497,            0.026928,                   0,           0.0016667,             0.26316,           0.0015079,          0.00028591,             0.11486,            0.018644,                   0,            0.009505,            0.009505,            0.009505
                   6,            0.096341,             0.02296,                   0,           0.0013333,             0.21053,           0.0018005,          0.00046069,             0.11199,            0.017125,                   0,            0.009505,            0.009505,            0.009505
                   7,              0.1052,            0.023534,                   0,           0.0023333,             0.36842,           0.0039125,           0.0007762,            0.099814,            0.017623,                   0,            0.009406,            0.009406,            0.009406
                   8,            0.096067,            0.025607,                   0,           0.0043333,             0.68421,            0.061796,            0.013451,            0.091965,            0.018496,                   0,            0.009307,            0.009307,            0.009307
                   9,            0.095302,            0.027236,                   0,               0.004,             0.63158,           0.0069082,             0.00179,             0.11865,            0.014919,                   0,            0.009208,            0.009208,            0.009208
                  10,             0.10132,             0.02415,                   0,               0.004,             0.63158,            0.039166,           0.0051388,             0.10766,            0.015897,                   0,            0.009109,            0.009109,            0.009109
                  11,            0.085025,            0.023798,                   0,               0.005,             0.78947,            0.083753,            0.025309,            0.081431,            0.017845,                   0,             0.00901,             0.00901,             0.00901
                  12,            0.085856,            0.027673,                   0,           0.0053333,             0.84211,            0.095357,            0.022268,            0.080485,            0.018556,                   0,            0.008911,            0.008911,            0.008911
                  13,            0.081969,            0.026699,                   0,             0.10265,             0.47368,             0.24189,             0.07535,            0.091999,            0.017687,                   0,            0.008812,            0.008812,            0.008812
                  14,            0.084226,            0.028162,                   0,             0.36285,             0.26316,              0.2477,            0.084553,            0.075303,            0.017877,                   0,            0.008713,            0.008713,            0.008713
                  15,            0.075988,            0.024491,                   0,             0.28892,             0.36842,             0.24034,            0.065079,              0.0776,            0.018446,                   0,            0.008614,            0.008614,            0.008614
                  16,            0.076396,             0.02314,                   0,              0.4246,             0.31104,              0.3101,             0.17147,            0.070018,            0.019594,                   0,            0.008515,            0.008515,            0.008515
                  17,            0.074768,            0.026243,                   0,             0.36176,             0.42105,             0.31838,             0.11543,             0.07835,            0.017976,                   0,            0.008416,            0.008416,            0.008416
                  18,            0.077747,            0.024626,                   0,              0.2703,             0.26316,              0.3206,            0.069157,            0.069041,            0.019517,                   0,            0.008317,            0.008317,            0.008317
                  19,            0.070165,            0.024884,                   0,             0.28249,             0.36842,              0.2796,            0.083786,            0.069059,            0.017346,                   0,            0.008218,            0.008218,            0.008218
                  20,            0.073594,            0.023322,                   0,             0.41308,             0.31579,             0.40358,             0.11183,            0.063577,            0.017021,                   0,            0.008119,            0.008119,            0.008119
                  21,            0.068771,            0.024931,                   0,             0.27249,             0.26316,             0.25587,            0.086759,            0.078271,            0.013771,                   0,             0.00802,             0.00802,             0.00802
                  22,            0.074511,            0.024668,                   0,             0.43385,             0.26316,             0.31955,             0.07959,            0.069748,             0.01504,                   0,            0.007921,            0.007921,            0.007921
                  23,             0.06662,            0.024566,                   0,             0.51192,             0.42105,             0.38331,             0.18631,            0.060739,            0.014959,                   0,            0.007822,            0.007822,            0.007822
                  24,            0.058117,            0.023632,                   0,              0.5483,             0.44807,             0.51623,             0.22688,            0.055493,            0.014976,                   0,            0.007723,            0.007723,            0.007723
                  25,            0.067323,            0.024152,                   0,             0.29726,             0.47368,             0.25921,            0.089887,            0.082756,            0.014089,                   0,            0.007624,            0.007624,            0.007624
                  26,            0.068649,            0.020851,                   0,              0.6789,             0.52632,             0.56388,             0.25001,             0.05929,            0.013948,                   0,            0.007525,            0.007525,            0.007525
                  27,            0.062785,            0.021584,                   0,             0.33686,             0.52632,             0.33564,             0.13556,            0.072638,            0.012106,                   0,            0.007426,            0.007426,            0.007426
                  28,            0.061343,            0.021788,                   0,             0.54921,             0.63158,             0.56004,             0.22943,            0.063211,            0.012797,                   0,            0.007327,            0.007327,            0.007327
                  29,            0.057008,            0.021403,                   0,             0.37792,             0.54399,             0.33098,             0.14855,            0.061909,            0.012261,                   0,            0.007228,            0.007228,            0.007228
                  30,            0.062698,            0.019876,                   0,             0.73148,             0.47368,             0.55903,             0.28692,            0.060603,            0.011751,                   0,            0.007129,            0.007129,            0.007129
                  31,            0.064443,            0.022419,                   0,              0.8695,             0.47368,             0.63635,              0.2765,            0.056789,            0.012195,                   0,             0.00703,             0.00703,             0.00703
                  32,            0.054039,             0.02114,                   0,             0.53978,             0.55624,             0.55829,             0.28509,            0.057521,            0.011715,                   0,            0.006931,            0.006931,            0.006931
                  33,            0.053659,            0.019373,                   0,             0.40434,             0.47368,             0.31347,             0.14214,            0.058404,            0.011332,                   0,            0.006832,            0.006832,            0.006832
                  34,            0.063045,            0.018204,                   0,             0.77329,             0.47368,             0.58643,             0.28055,            0.056224,            0.010744,                   0,            0.006733,            0.006733,            0.006733
                  35,            0.059678,            0.018535,                   0,             0.89668,             0.36842,             0.55649,             0.27917,            0.052652,            0.010826,                   0,            0.006634,            0.006634,            0.006634
                  36,            0.054471,            0.019984,                   0,             0.47046,             0.60841,             0.48289,             0.20832,            0.050484,            0.011073,                   0,            0.006535,            0.006535,            0.006535
                  37,            0.053444,            0.018017,                   0,             0.35108,             0.42105,             0.29945,             0.11905,            0.058099,            0.010815,                   0,            0.006436,            0.006436,            0.006436
                  38,            0.053003,            0.018886,                   0,               0.622,             0.68421,             0.58947,             0.28873,            0.051822,            0.011193,                   0,            0.006337,            0.006337,            0.006337
                  39,            0.054312,            0.018822,                   0,             0.54701,             0.63572,             0.49593,             0.24467,            0.056284,            0.010427,                   0,            0.006238,            0.006238,            0.006238
                  40,            0.054975,            0.018946,                   0,             0.82965,             0.68421,             0.67925,             0.29273,             0.05098,            0.010321,                   0,            0.006139,            0.006139,            0.006139
                  41,             0.05288,             0.01854,                   0,             0.51791,             0.57895,             0.51022,             0.22436,            0.054701,           0.0099112,                   0,             0.00604,             0.00604,             0.00604
